[(2, 4), (4, 1), (1, 1), (1, 6), (6, 4), (4, 3)];1;1;(2, 2);[3.286, 3.286, 4.0, 4.0, 5.2, 1.533, 4.333];Minimax Algorithm
[(2, 2), (2, 4), (4, 1), (1, 1), (1, 6), (6, 4), (4, 3), (3, 1)];0;0;(1, 5);[2.167, 6.0, 5.667999999999999, 4.334, 4.667, 4.667999999999999, 3.8339999999999996];Greedy Algorithm
[(2, 2), (2, 4), (4, 1), (1, 1), (1, 6), (6, 4), (4, 3), (3, 1), (1, 5)];0;0;(0, 5);[4.0, 7.0, 6.0009999999999994, 4.834, 4.667, 4.667999999999999, 3.8339999999999996];Greedy Algorithm
[(2, 2), (2, 4), (4, 1), (1, 1), (1, 6), (6, 4), (4, 3), (3, 1), (1, 5), (5, 0)];0;2;(0, 4);[5.786, 5.286, 10.0, 6.5, 6.0, 5.833, 5.833];Minimax Algorithm
[(2, 2), (2, 4), (4, 1), (1, 1), (1, 6), (6, 4), (4, 3), (3, 1), (1, 5), (5, 0), (0, 4)];0;2;(1, 2);[4.0, 6.0, 6.0009999999999994, 4.834, 5.5, 4.5009999999999994, 3.8339999999999996];Greedy Algorithm
[];0;0;(1, 1);[1, 3.858, 1.286, 3, 1.286, 2, 0.286];Greedy Algorithm
[(1, 1)];1;1;(1, 3);[3, 2.9990000000000006, 2.333, 2.6660000000000004, 1.333, 1.333, 3.6660000000000004];Minimax Algorithm
[(1, 1), (1, 3), (3, 3)];0;1;(0, 3);[3.8, 3.1999999999999997, 2.4, 3.6660000000000004, 1.8, 1.733, 3.733];Minimax Algorithm
[(1, 1), (1, 3), (3, 3), (3, 0)];0;1;(1, 5);[2.8, 4.5009999999999994, 1.5670000000000002, 5.567, 1.967, 3.5999999999999996, 0.334];Greedy Algorithm
[(5, 1), (1, 1), (1, 3), (3, 3), (3, 0)];1;2;(5, 6);[4.0, 4.3, 2.4, 3.833, 2.4, 2.833, 4.5];Minimax Algorithm
[(6, 5), (5, 1), (1, 1), (1, 3), (3, 3), (3, 0)];1;2;(0, 1);[2.8, 4.75, 1.65, 6.15, 2.8, 4.6, 2.75];Greedy Algorithm
[(6, 5), (5, 1), (1, 1), (1, 3), (3, 3), (3, 0), (0, 1)];2;0;(0, 6);[4.666, 4.9990000000000006, 2.333, 3.833, 2.166, 2.666, 4.333];Minimax Algorithm
